Country_Region,Province_State,Lockdown_date,Country_State,Stringency_Date
US,Georgia,2020-03-14,US Georgia,2020-03-17
US,Guam,2020-03-10,US Guam,2020-03-17
US,Hawaii,2020-03-25,US Hawaii,2020-03-17
US,Idaho,2020-03-25,US Idaho,2020-03-17
US,Illinois,2020-03-21,US Illinois,2020-03-17
US,Indiana,2020-03-24,US Indiana,2020-03-17
US,Iowa,9999-12-31,US Iowa,2020-03-17
US,Kansas,2020-03-20,US Kansas,2020-03-17
US,Kentucky,2020-03-26,US Kentucky,2020-03-17
US,Louisiana,2020-03-23,US Louisiana,2020-03-17
US,Maine,2020-04-02,US Maine,2020-03-17
US,Maryland,2020-03-30,US Maryland,2020-03-17
US,Massachusetts,2020-03-24,US Massachusetts,2020-03-17
US,Michigan,2020-03-24,US Michigan,2020-03-17
US,Minnesota,2020-03-27,US Minnesota,2020-03-17
US,Mississippi,2020-04-03,US Mississippi,2020-03-17
US,Missouri,2020-04-06,US Missouri,2020-03-17
US,Montana,2020-03-28,US Montana,2020-03-17
US,Nebraska,9999-12-31,US Nebraska,2020-03-17
US,Nevada,2020-04-02,US Nevada,2020-03-17
US,New Hampshire,2020-03-27,US New Hampshire,2020-03-17
US,New Jersey,2020-03-21,US New Jersey,2020-03-17
US,New Mexico,2020-03-24,US New Mexico,2020-03-17
US,New York,2020-03-22,US New York,2020-03-17
US,North Carolina,2020-03-30,US North Carolina,2020-03-17
US,North Dakota,9999-12-31,US North Dakota,2020-03-17
US,Ohio,2020-03-23,US Ohio,2020-03-17
US,Oklahoma,2020-03-10,US Oklahoma,2020-03-17
US,Oregon,2020-03-23,US Oregon,2020-03-17
US,Pennsylvania,2020-04-02,US Pennsylvania,2020-03-17
US,Puerto Rico,2020-03-15,US Puerto Rico,2020-03-17
US,Rhode Island,2020-03-28,US Rhode Island,2020-03-17
US,South Carolina,2020-04-07,US South Carolina,2020-03-17
US,South Dakota,9999-12-31,US South Dakota,2020-03-17
US,Tennessee,2020-03-31,US Tennessee,2020-03-17
US,Texas,2020-04-02,US Texas,2020-03-17
US,Utah,2020-03-10,US Utah,2020-03-17
US,Vermont,2020-03-25,US Vermont,2020-03-17
US,Virgin Islands,2020-03-10,US Virgin Islands,2020-03-17
US,Virginia,2020-03-30,US Virginia,2020-03-17
US,Washington,2020-03-23,US Washington,2020-03-17
US,West Virginia,2020-03-24,US West Virginia,2020-03-17
US,Wisconsin,2020-03-25,US Wisconsin,2020-03-17
US,Wyoming,2020-03-10,US Wyoming,2020-03-17
Uganda,,2020-03-10,Uganda ,2020-03-20
Ukraine,,2020-03-25,Ukraine ,2020-03-12
United Arab Emirates,,2020-03-31,United Arab Emirates ,2020-03-16
United Kingdom,,2020-03-23,United Kingdom ,2020-03-23
United Kingdom,Anguilla,2020-03-23,United Kingdom Anguilla,2020-03-23
United Kingdom,Bermuda,2020-03-23,United Kingdom Bermuda,2020-03-23
United Kingdom,British Virgin Islands,2020-03-23,United Kingdom British Virgin Islands,2020-03-23
United Kingdom,Cayman Islands,2020-03-23,United Kingdom Cayman Islands,2020-03-23
United Kingdom,Channel Islands,2020-03-23,United Kingdom Channel Islands,2020-03-23
United Kingdom,Falkland Islands (Malvinas),2020-03-23,United Kingdom Falkland Islands (Malvinas),2020-03-23
United Kingdom,Gibraltar,2020-03-23,United Kingdom Gibraltar,2020-03-23
United Kingdom,Isle of Man,2020-03-23,United Kingdom Isle of Man,2020-03-23
United Kingdom,Montserrat,2020-03-23,United Kingdom Montserrat,2020-03-23
United Kingdom,Turks and Caicos Islands,2020-03-23,United Kingdom Turks and Caicos Islands,2020-03-23
Uruguay,,2020-03-30,Uruguay ,2020-03-15
Uzbekistan,,2020-03-23,Uzbekistan ,2020-03-16
Venezuela,,2020-03-12,Venezuela ,2020-03-16
Vietnam,,2020-03-16,Vietnam ,2020-02-13
West Bank and Gaza,,2020-03-10,West Bank and Gaza ,
Zambia,,2020-03-17,Zambia ,
Zimbabwe,,2020-03-23,Zimbabwe ,2020-03-23
Malawi,,2020-03-10,Malawi ,2020-03-23
Sao Tome and Principe,,2020-03-10,Sao Tome and Principe ,
South Sudan,,2020-03-10,South Sudan ,2020-03-21
Western Sahara,,2020-03-10,Western Sahara ,
